"Row","CooksD","Leverage","StdResid","Influential"
1,0.00105618967670666,0.00891857825365509,-0.685184939920964,FALSE
2,0.00166308123984437,0.0262595605355534,0.496666198613453,FALSE
3,0.0204238591554712,0.0257499295706518,-1.75811022304131,FALSE
4,0.000434103323781883,0.0362017200024849,0.215008199382999,FALSE
5,0.00377840312563607,0.0473690227758724,-0.551314327113904,FALSE
6,1.9267167210192e-05,0.0148750766606018,0.0714422256838326,FALSE
7,0.0035649354869661,0.025966474864622,0.731368562012985,FALSE
8,0.00659246576191677,0.0382036851433875,0.814784695668125,FALSE
9,8.03140770324087e-05,0.0219981853630688,0.119509446161519,FALSE
10,0.000835366295738211,0.0256240419996852,0.356457643048632,FALSE
11,0.0141759284614049,0.0233809141748552,1.53899642828252,FALSE
12,1.41189775999441e-07,0.0277601666426895,-0.00444741125788553,FALSE
13,0.0113945700679462,0.0409678442793619,1.0329373843465,FALSE
14,0.0147944372260182,0.021175105742907,1.65393687327403,FALSE
15,0.00217864712799855,0.0364679336870407,0.479844974482056,FALSE
16,0.00572840971120342,0.0168247114400671,-1.15714743441375,FALSE
17,0.00283404445428446,0.0186170057114174,0.773032357316153,FALSE
18,0.00178203746688875,0.0217281461240405,0.566509051974043,FALSE
19,0.00433573566550952,0.0139517052932037,1.10712546563993,FALSE
20,0.00578344643793965,0.0318364531693603,0.838755495953648,FALSE
21,0.0020997609550839,0.0105741288771916,0.886511257423683,FALSE
22,0.0313333527149208,0.0407575980857561,1.71748646092239,TRUE
23,0.000371218019698981,0.0317310639343771,0.212863011924393,FALSE
24,0.000229581837166881,0.0313182179908432,-0.168535271026824,FALSE
25,0.00608813084055823,0.0177101473047846,1.1621996128786,FALSE
26,0.00614025845408771,0.026470882615181,0.950415659089784,FALSE
27,0.000708502370831123,0.0199135198546273,-0.373472675637887,FALSE
28,1.11115260470586e-05,0.0173578985173167,0.0501609740600569,FALSE
29,0.00452082233709195,0.0248759186037352,-0.841936025844793,FALSE
30,0.123157386248454,0.128433812230514,1.82839795669384,TRUE
31,0.0100048238105234,0.0414620030504248,-0.961865272495662,FALSE
32,0.00323634049746712,0.0223173880010669,0.753068294176512,FALSE
33,0.000503129795840666,0.0177571267932033,0.333651521559564,FALSE
34,0.00330134768865187,0.0117344760750159,1.05458259403194,FALSE
35,0.0117911389837347,0.0362017200024849,-1.12056317413305,FALSE
36,0.00599399899516744,0.0345040935458477,-0.81908360991246,FALSE
37,0.000683718280641446,0.0269112819686307,-0.314468838746707,FALSE
38,0.000220653406186964,0.0418956226396138,0.142071642451196,FALSE
39,0.000226283900945092,0.0862719066813182,-0.097910803565434,FALSE
40,0.0305653183398521,0.0373458133268088,1.77524643135422,TRUE
41,0.000197528176722892,0.0123321685770496,0.251553434529907,FALSE
42,0.000584178811722007,0.021175105742907,0.328656787107221,FALSE
43,0.00115390469887348,0.110679506168619,0.192579702058022,FALSE
44,0.00098142336372792,0.0249685530923562,0.391535202738246,FALSE
45,1.07570967340952e-05,0.0311304693533822,0.0365946289116232,FALSE
46,0.036757421407373,0.0431584120843723,1.8054680488346,TRUE
47,0.00628014599687922,0.0209836740890245,1.08260260200914,FALSE
48,0.00030674358409165,0.0208814738233753,0.239858326624247,FALSE
49,0.00382402194163713,0.0283798337786039,0.723658253584562,FALSE
50,0.0198400771478737,0.0382036851433875,-1.4134830330366,FALSE
51,0.00198698769724765,0.020631560264439,0.61423505818909,FALSE
52,0.000133228709077936,0.0118456526446852,0.210844269381407,FALSE
53,0.00901015027558936,0.0320062046195608,1.04403536746301,FALSE
54,0.0017578414769768,0.0315615547482053,0.464490318166985,FALSE
55,0.00767049685220499,0.013931687998108,-1.47364669731728,FALSE
56,0.00425029075244317,0.0620839490119878,0.50679419660318,FALSE
57,0.00199046958056368,0.032345982959224,0.488042500192577,FALSE
58,0.000208137268522334,0.04678453933005,0.130241467563196,FALSE
59,0.00295771660681053,0.0348298471850787,0.572577703915758,FALSE
60,0.00156259143368563,0.0147602632088203,0.645916864693217,FALSE
61,4.36356352766923e-06,0.0264967686868627,0.0253234509438824,FALSE
62,0.00186728430561981,0.0280643991685634,-0.508599688447136,FALSE
63,4.04328559139907e-06,0.0161968482778579,-0.0313426745025066,FALSE
64,4.82363732188371e-07,0.0184564899705886,-0.0101297223429688,FALSE
65,6.30362414510263e-06,0.00976881953087597,-0.050555965200368,FALSE
66,0.0102620196472793,0.0126172525960398,-1.79228382330382,FALSE
67,0.0178445369227156,0.0310719557692789,-1.49191508371711,FALSE
68,0.000134890915242314,0.0390628337352223,0.115209149156047,FALSE
69,0.000609085019624085,0.0594627759694688,-0.196306354916658,FALSE
70,7.5976523775771e-05,0.0299474619983568,-0.0992172811856579,FALSE
71,0.0019872558383982,0.0117229384450379,-0.818611802332938,FALSE
72,0.00329577851847646,0.0319549295038721,0.631957484945457,FALSE
73,0.000449968132010083,0.0110273487855459,-0.401769957877424,FALSE
74,0.0155955405706758,0.0450215335239104,-1.15031520292483,FALSE
75,0.00724450014800116,0.0150882529954582,-1.37535049577817,FALSE
76,0.00246779798404898,0.037504746104767,0.503316284154269,FALSE
77,0.0015923411239666,0.0094501423951761,0.817084637291634,FALSE
78,3.64611442327727e-05,0.0199901810219545,-0.0845574724071508,FALSE
79,0.00584328152416024,0.0126172525960398,-1.35244237417437,FALSE
80,3.45521858741384e-05,0.0764314721764842,-0.0408663838123551,FALSE
81,0.0113930831414572,0.0240596246029803,1.3596209513359,FALSE
82,0.00111182427547705,0.0199700015263557,0.467174046076256,FALSE
83,0.00698547387523452,0.106608251580335,-0.483897624489608,FALSE
84,0.000566189173490883,0.0141452912638209,-0.397293341369623,FALSE
85,0.0152938943984214,0.0206779194490306,-1.7021522096436,FALSE
86,0.00105268254727391,0.0287352515548673,-0.377259355593299,FALSE
87,0.00335201860857902,0.00874232087624305,1.23300011515869,FALSE
88,0.000115243974186631,0.0444843091526732,0.0995072204823627,FALSE
89,0.00198450695919416,0.0386104649200513,0.444583651407711,FALSE
90,0.00172290757592611,0.0164777623961739,0.641363085364447,FALSE
91,0.0316037443306991,0.0527156242474609,-1.5071961490418,TRUE
92,0.00828140115601065,0.0334960995087536,-0.977657178532908,FALSE
93,0.00628982832121018,0.0281168169801993,-0.932552623516098,FALSE
94,0.00208402394735343,0.0133208563717475,-0.785784122934399,FALSE
95,0.0119839421884135,0.0121339315234984,-1.97550490644519,FALSE
96,0.00295079876133767,0.0820214877004304,0.363456322939913,FALSE
97,0.0151866620719632,0.084701030587342,0.810211306936961,FALSE
98,6.94484199465576e-05,0.0150413439690681,0.134873571984712,FALSE
99,0.0079202514271696,0.0161688015983993,-1.38841999387535,FALSE
100,0.000125271809372547,0.0362881543980795,0.115358029510133,FALSE
101,0.00172290757592611,0.0164777623961739,0.641363085364447,FALSE
102,0.0125379266600104,0.0277601666426895,1.32531321682487,FALSE
103,7.39142395210414e-06,0.0170254620948347,0.0413157586977173,FALSE
104,0.0224963634639516,0.0366744218429582,-1.53741482143542,FALSE
105,0.000604430631564095,0.0100658320844704,0.487620039082101,FALSE
106,0.00342115742218739,0.0212712283081088,0.793508198273412,FALSE
107,0.0012203004828703,0.0317347633852627,0.38591612451319,FALSE
108,0.0279185354257341,0.0206780050260537,-2.2997718177724,FALSE
109,0.00178147901345657,0.0567417634396723,-0.344178897914986,FALSE
110,0.0222624221436292,0.0543506316494884,1.24474093754673,FALSE
111,0.000738030758461907,0.017016936672399,0.412951980088397,FALSE
112,0.00911304157805855,0.0527587395515807,-0.808993010380587,FALSE
113,0.00128298499517413,0.0160736477123208,-0.560486114236625,FALSE
114,0.000916887606114772,0.0161968482778579,-0.471983584872971,FALSE
115,0.00744501135237848,0.0240013820284915,1.10044705969883,FALSE
116,0.0218744408956183,0.0133208563717475,-2.54577711209988,FALSE
117,0.0680842591973095,0.0305940175315489,-2.93756811777391,TRUE
118,3.25726128927481e-05,0.037504746104767,0.0578245788110379,FALSE
119,0.0166564872209489,0.0186170057114174,-1.8740710492282,FALSE
120,0.000506252096318947,0.00993607831465763,-0.449197703698515,FALSE
121,0.00275762746289368,0.0194757003468325,0.745213016378487,FALSE
122,0.0118905584878575,0.0257499295706519,1.34146183870351,FALSE
123,0.0114858905322952,0.0246418669651659,-1.3485205922969,FALSE
124,0.0691252933800447,0.0285387015255643,-3.0679207483594,TRUE
125,0.00115920395533264,0.0209654591892931,0.465325379813644,FALSE
126,0.00146194417563592,0.0437060533847259,0.357701118179571,FALSE
127,0.00135394544848775,0.0298671362754004,0.419420250803963,FALSE
128,0.00217004201691815,0.0138758557881268,0.785416416306197,FALSE
129,0.00742234421974532,0.0100658320844704,-1.70875129949799,FALSE
130,3.58913792093472e-07,0.0160099599345239,0.00939345367857522,FALSE
131,0.0128837187305816,0.0325722570907369,1.23718872916823,FALSE
132,0.0005655728522974,0.075129355377197,-0.166882170440564,FALSE
133,0.00228593013253135,0.0100368445054343,0.949669279838962,FALSE
